20,133,3
0,166,1
18,239,0
3,318,1
33,420,3
6,84,1
40,407,0
24,85,3
34,273,3
8,223,2
25,157,3
10,457,0
16,148,4
3,387,2
3,205,4
10,18,4
16,370,2
19,439,0
19,310,2
18,237,3
12,317,1
32,461,3
43,161,0
43,126,0
39,65,1
4,415,3
19,177,3
7,215,3
8,110,1
31,499,0
22,77,4
16,218,4
1,72,3
15,378,2
6,15,1
45,172,0
28,225,2
17,86,4
29,417,3
44,4,0
6,92,0
14,32,3
41,420,0
23,497,4
48,127,1
39,354,3
10,302,1
38,197,2
46,28,3
6,39,4
8,457,4
49,193,3
44,119,4
41,217,0
9,135,3
22,246,2
3,458,0
21,7,2
7,490,4
8,196,1
27,36,4
37,136,0
32,318,3
31,430,0
11,198,3
39,114,2
43,372,2
37,372,2
44,186,2
38,32,2
10,297,0
7,188,3
1,150,1
5,251,1
16,111,3
18,66,0
42,49,0
18,297,4
26,106,3
3,247,0
7,21,4
1,186,3
14,157,3
19,445,2
24,142,1
30,425,3
26,192,3
3,282,4
23,472,3
13,126,1
39,364,4
43,168,2
9,147,3
48,350,1
28,210,1
30,327,0
37,233,2
9,41,3
41,135,1
27,297,4
37,50,4
45,152,1
4,268,3
48,311,0
14,455,4
44,285,3
27,349,2
12,401,4
0,286,3
49,479,4
9,79,2
2,495,4
1,224,3
27,459,4
19,60,3
9,111,3
23,185,0
3,211,2
12,387,0
40,457,4
48,132,4
11,476,1
44,498,0
37,64,3
31,270,2
41,464,1
21,365,3
41,185,3
28,388,2
25,271,1
13,410,0
7,51,4
34,348,1
40,196,3
29,79,1
47,74,3
35,71,2
20,229,3
26,248,4
11,57,3
42,469,4
19,420,1
9,378,1
11,137,4
39,47,2
5,334,2
7,96,2
12,108,3
9,371,1
33,496,0
45,482,2
34,289,4
9,141,1
0,135,2
30,70,1
9,38,2
19,92,1
8,153,2
19,329,0
39,125,2
11,395,3
5,386,2
12,95,0
15,70,0
22,213,3
7,19,2
46,354,2
13,251,1
9,295,0
11,477,2
31,33,1
4,459,0
40,172,1
14,172,1
17,68,2
24,313,4
10,318,3
8,467,1
12,381,3
47,435,0
32,124,4
49,487,3
28,127,2
14,223,1
39,451,2
23,314,4
0,468,2
7,393,4
12,485,2
49,328,1
43,12,0
45,105,1
25,80,4
42,252,0
42,488,1
27,488,4
21,236,0
41,374,2
45,152,0
6,203,4
14,283,4
42,144,1
27,220,4
43,416,1
49,472,1
15,247,2
42,344,3
31,124,2
20,266,0
45,105,0
21,40,0
25,401,1
0,231,4
39,170,4
48,30,4
13,304,0
32,138,4
44,336,1
5,61,2
33,415,3
47,434,0
38,158,1
15,232,4
6,96,1
40,238,0
40,343,2
30,309,2
26,299,4
24,218,3
6,213,3
37,464,4
2,25,4
8,276,4
20,412,1
5,263,1
39,119,0
26,27,2
31,409,3
33,166,2
45,353,1
39,44,1
35,290,1
34,213,2
17,344,0
10,476,2
38,392,1
25,496,2
